Part,Year,Month,Day,TotalQty
R55185CNZ,2000,December,21,4
R55199CNZ,2000,December,21,4
R55202CNZ,2000,December,21,5
R582034CNZ,2000,December,21,1
R582060CNZ,2000,December,21,5
R582061CNZ,2000,December,21,5
R682151CNZ,2000,December,21,3
R782430CNZ,2000,December,21,6
R782497CNZ,2000,December,21,6
R981053CNZ,2000,December,21,3
R981470CNZ,2000,December,21,4
R981500CNZ,2000,December,21,6
R981503CNZ,2000,December,21,5
R981814CNZ,2000,December,21,6
R981835CNZ,2000,December,21,5
R981943CNZ,2000,December,21,2
R981958CNZ,2000,December,21,5
R982067CNZ,2000,December,21,5
R982071CNZ,2000,December,21,2
R982104CNZ,2000,December,21,6
R982285CNZ,2000,December,21,6
R982292CNZ,2000,December,21,2
R31243CNZ,2000,December,20,4
R31244CNZ,2000,December,20,1
R31257CNZ,2000,December,20,6
R31337CNZ,2000,December,20,4
R31339CNZ,2000,December,20,4
R31347CNZ,2000,December,20,6
R31349CNZ,2000,December,20,2
R31365CNZ,2000,December,20,4
R31373CNZ,2000,December,20,2
R31375CNZ,2000,December,20,3
R31387CNZ,2000,December,20,6
R31398CNZ,2000,December,20,6
R31402CNZ,2000,December,20,2
R31403CNZ,2000,December,20,1
R31414CNZ,2000,December,20,1
R31420CNZ,2000,December,20,4
R31434CNZ,2000,December,20,2
R31469CNZ,2000,December,20,2
R31479CNZ,2000,December,20,6
R31493CNZ,2000,December,20,2
R31505CNZ,2000,December,20,3
R31512CNZ,2000,December,20,3
R31532CNZ,2000,December,20,2
R31533CNZ,2000,December,20,5
R31538CNZ,2000,December,20,1
R31539CNZ,2000,December,20,5
R31553CNZ,2000,December,20,5
R31584CNZ,2000,December,20,6
R31603CNZ,2000,December,20,6
R31605CNZ,2000,December,20,3
R31608CNZ,2000,December,20,3
R31610CNZ,2000,December,20,5
R31612CNZ,2000,December,20,6
R31636CNZ,2000,December,20,4
R34143CNZ,2000,December,20,6
R34144CNZ,2000,December,20,5
R34203CNZ,2000,December,20,2
R34247CNZ,2000,December,20,3
R34294CNZ,2000,December,20,4
R34303CNZ,2000,December,20,1
R34312CNZ,2000,December,20,1
R34313CNZ,2000,December,20,1
R34317CNZ,2000,December,20,5
R34401CNZ,2000,December,20,6
R34403CNZ,2000,December,20,5
R34499CNZ,2000,December,20,4
R53005CNZ,2000,December,20,1
R53006CNZ,2000,December,20,6
R53024CNZ,2000,December,20,4
R53040CNZ,2000,December,20,6
R53041CNZ,2000,December,20,6
R53050CNZ,2000,December,20,1
R53051CNZ,2000,December,20,2
R53061CNZ,2000,December,20,3
R53062CNZ,2000,December,20,4
R53071CNZ,2000,December,20,3
R54095CNZ,2000,December,20,5
R54153CNZ,2000,December,20,1
R54198CNZ,2000,December,20,5
R54199CNZ,2000,December,20,6
R55055CNZ,2000,December,20,6
R55159CNZ,2000,December,20,4
R55174CNZ,2000,December,20,5
R55178CNZ,2000,December,20,1
R55185CNZ,2000,December,20,3
R55199CNZ,2000,December,20,2
R581999CNZ,2000,December,20,2
R582000CNZ,2000,December,20,5
R582034CNZ,2000,December,20,1
R582038CNZ,2000,December,20,4
R582039CNZ,2000,December,20,6
R681995CNZ,2000,December,20,5
R682151CNZ,2000,December,20,2
R682197CNZ,2000,December,20,4
R682263CNZ,2000,December,20,6
R981470CNZ,2000,December,20,6
R981500CNZ,2000,December,20,6
R981503CNZ,2000,December,20,1
R982044CNZ,2000,December,20,3
R982045CNZ,2000,December,20,6
R982073CNZ,2000,December,20,2
R982487CNZ,2000,December,20,4
R982495CNZ,2000,December,20,5
R982611CNZ,2000,December,20,6
R31050CNZ,2000,December,19,4
R31165CNZ,2000,December,19,5
R31247CNZ,2000,December,19,3
R31257CNZ,2000,December,19,6
R31304CNZ,2000,December,19,4
R31312CNZ,2000,December,19,6
R31322CNZ,2000,December,19,2
R31325CNZ,2000,December,19,6
R31347CNZ,2000,December,19,4
R31348CNZ,2000,December,19,6
R31349CNZ,2000,December,19,3
R31372CNZ,2000,December,19,3
R31375CNZ,2000,December,19,6
R31398CNZ,2000,December,19,4
R31414CNZ,2000,December,19,3
R31420CNZ,2000,December,19,5
R31439CNZ,2000,December,19,3
R31440CNZ,2000,December,19,5
R31463CNZ,2000,December,19,1
R31464CNZ,2000,December,19,2
R31469CNZ,2000,December,19,5
R31479CNZ,2000,December,19,2
R31483CNZ,2000,December,19,5
R31505CNZ,2000,December,19,6
R31509CNZ,2000,December,19,2
R31512CNZ,2000,December,19,1
R31526CNZ,2000,December,19,3
R31532CNZ,2000,December,19,6
R31533CNZ,2000,December,19,4
R31550CNZ,2000,December,19,3
R31554CNZ,2000,December,19,4
R31583CNZ,2000,December,19,6
R31584CNZ,2000,December,19,5
R31603CNZ,2000,December,19,6
R31605CNZ,2000,December,19,3
R31610CNZ,2000,December,19,2
R31623CNZ,2000,December,19,1
R3290CNZ,2000,December,19,3
R34203CNZ,2000,December,19,2
R34279CNZ,2000,December,19,3
R34296CNZ,2000,December,19,5
R34297CNZ,2000,December,19,2
R34303CNZ,2000,December,19,3
R34312CNZ,2000,December,19,5
R34349CNZ,2000,December,19,2
R34369CNZ,2000,December,19,2
R34426CNZ,2000,December,19,1
R34428CNZ,2000,December,19,1
R34431CNZ,2000,December,19,5
R34470CNZ,2000,December,19,1
R34475CNZ,2000,December,19,2
R53004CNZ,2000,December,19,3
R53005CNZ,2000,December,19,2
R53006CNZ,2000,December,19,4
R53061CNZ,2000,December,19,3
R53071CNZ,2000,December,19,3
R5365CNZ,2000,December,19,6
R54123CNZ,2000,December,19,6
R54124CNZ,2000,December,19,1
R54141CNZ,2000,December,19,6
R54142CNZ,2000,December,19,5
R54153CNZ,2000,December,19,1
R54186CNZ,2000,December,19,4
R54193CNZ,2000,December,19,2
R55094CNZ,2000,December,19,5
R55097CNZ,2000,December,19,5
R55122CNZ,2000,December,19,5
R55133CNZ,2000,December,19,6
R55159CNZ,2000,December,19,5
R582038CNZ,2000,December,19,4
R582039CNZ,2000,December,19,2
R681995CNZ,2000,December,19,6
R682151CNZ,2000,December,19,2
R682291CNZ,2000,December,19,3
R682446CNZ,2000,December,19,6
R781087CNZ,2000,December,19,1
R981000CNZ,2000,December,19,1
R981004CNZ,2000,December,19,4
R981165CNZ,2000,December,19,6
R981500CNZ,2000,December,19,5
R981503CNZ,2000,December,19,4
R981956CNZ,2000,December,19,3
R982045CNZ,2000,December,19,2
R982062CNZ,2000,December,19,3
R982073CNZ,2000,December,19,6
R982153CNZ,2000,December,19,4
R982264CNZ,2000,December,19,2
R982292CNZ,2000,December,19,1
R31042CNZ,2000,December,18,4
R31227CNZ,2000,December,18,5
R31257CNZ,2000,December,18,4
R31270CNZ,2000,December,18,4
R31312CNZ,2000,December,18,5
R31314CNZ,2000,December,18,2
R31315CNZ,2000,December,18,2
R31325CNZ,2000,December,18,6
R31348CNZ,2000,December,18,6
R31349CNZ,2000,December,18,3
R31365CNZ,2000,December,18,5
R31372CNZ,2000,December,18,6
R31373CNZ,2000,December,18,1
R31375CNZ,2000,December,18,6
R31398CNZ,2000,December,18,2
R31402CNZ,2000,December,18,3
R31433CNZ,2000,December,18,3
R31434CNZ,2000,December,18,4
R31441CNZ,2000,December,18,6
R31443CNZ,2000,December,18,2
R31447CNZ,2000,December,18,6
R31463CNZ,2000,December,18,4
R31464CNZ,2000,December,18,4
R31469CNZ,2000,December,18,4
R31479CNZ,2000,December,18,4
R31489CNZ,2000,December,18,2
R31505CNZ,2000,December,18,4
R31508CNZ,2000,December,18,6
R31512CNZ,2000,December,18,6
R31532CNZ,2000,December,18,6
R31533CNZ,2000,December,18,3
R31541CNZ,2000,December,18,1
R31567CNZ,2000,December,18,6
R31584CNZ,2000,December,18,4
R31592CNZ,2000,December,18,6
R31593CNZ,2000,December,18,3
R31603CNZ,2000,December,18,6
R31610CNZ,2000,December,18,6
R31612CNZ,2000,December,18,4
R31623CNZ,2000,December,18,1
R31636CNZ,2000,December,18,6
R31661CNZ,2000,December,18,1
R3296CNZ,2000,December,18,4
R34143CNZ,2000,December,18,1
R34144CNZ,2000,December,18,6
R34234CNZ,2000,December,18,6
R34237CNZ,2000,December,18,4
R34248CNZ,2000,December,18,6
R34258CNZ,2000,December,18,6
R34279CNZ,2000,December,18,2
R34306CNZ,2000,December,18,3
R34319CNZ,2000,December,18,1
R34363CNZ,2000,December,18,4
R34364CNZ,2000,December,18,6
R34403CNZ,2000,December,18,1
R34470CNZ,2000,December,18,5
R34499CNZ,2000,December,18,3
R5118CNZ,2000,December,18,2
R5119CNZ,2000,December,18,1
R53005CNZ,2000,December,18,5
R53006CNZ,2000,December,18,2
R53050CNZ,2000,December,18,2
R53051CNZ,2000,December,18,3
R53056CNZ,2000,December,18,1
R53057CNZ,2000,December,18,4
R53068CNZ,2000,December,18,5
R53069CNZ,2000,December,18,5
R54011CNZ,2000,December,18,2
R54017CNZ,2000,December,18,1
R54032CNZ,2000,December,18,4
R54093CNZ,2000,December,18,3
R54097CNZ,2000,December,18,2
R54111CNZ,2000,December,18,4
R54123CNZ,2000,December,18,3
R54125CNZ,2000,December,18,2
R54134CNZ,2000,December,18,2
R54142CNZ,2000,December,18,6
R54153CNZ,2000,December,18,6
R54155CNZ,2000,December,18,6
R54156CNZ,2000,December,18,5
R54186CNZ,2000,December,18,1
R54198CNZ,2000,December,18,4
R54199CNZ,2000,December,18,4
R55072CNZ,2000,December,18,3
R55075CNZ,2000,December,18,1
R55093CNZ,2000,December,18,5
R55094CNZ,2000,December,18,1
R55097CNZ,2000,December,18,1
R55133CNZ,2000,December,18,3
R55147CNZ,2000,December,18,1
R55148CNZ,2000,December,18,2
R55155CNZ,2000,December,18,6
R55159CNZ,2000,December,18,5
R55185CNZ,2000,December,18,1
R55199CNZ,2000,December,18,5
R55202CNZ,2000,December,18,1
R581999CNZ,2000,December,18,1
R582000CNZ,2000,December,18,5
R582033CNZ,2000,December,18,6
R582034CNZ,2000,December,18,3
R582038CNZ,2000,December,18,3
R582039CNZ,2000,December,18,6
R582060CNZ,2000,December,18,5
R582152CNZ,2000,December,18,5
R682151CNZ,2000,December,18,5
R981064CNZ,2000,December,18,6
R981086CNZ,2000,December,18,4
R981421CNZ,2000,December,18,4
R981470CNZ,2000,December,18,5
R981500CNZ,2000,December,18,2
R981503CNZ,2000,December,18,4
R981775CNZ,2000,December,18,4
R981958CNZ,2000,December,18,3
R982048CNZ,2000,December,18,2
R982070CNZ,2000,December,18,5
R982071CNZ,2000,December,18,2
R982073CNZ,2000,December,18,2
R982104CNZ,2000,December,18,2
R982264CNZ,2000,December,18,1
R31043CNZ,2000,December,17,1
R31247CNZ,2000,December,17,2
R31257CNZ,2000,December,17,6
R31275CNZ,2000,December,17,5
R31311CNZ,2000,December,17,6
R31312CNZ,2000,December,17,5
R31315CNZ,2000,December,17,6
R31318CNZ,2000,December,17,4
R31347CNZ,2000,December,17,6
R31348CNZ,2000,December,17,5
R31349CNZ,2000,December,17,1
R31372CNZ,2000,December,17,4
R31375CNZ,2000,December,17,2
R31414CNZ,2000,December,17,2
R31420CNZ,2000,December,17,3
R31434CNZ,2000,December,17,2
R31440CNZ,2000,December,17,2
R31443CNZ,2000,December,17,5
R31452CNZ,2000,December,17,1
R31453CNZ,2000,December,17,2
R31455CNZ,2000,December,17,6
R31463CNZ,2000,December,17,5
R31468CNZ,2000,December,17,6
R31469CNZ,2000,December,17,4
R31479CNZ,2000,December,17,6
R31505CNZ,2000,December,17,4
R31509CNZ,2000,December,17,2
R31512CNZ,2000,December,17,5
R31517CNZ,2000,December,17,1
R31518CNZ,2000,December,17,6
R31542CNZ,2000,December,17,2
R31543CNZ,2000,December,17,3
R31553CNZ,2000,December,17,3
R31569CNZ,2000,December,17,6
R31584CNZ,2000,December,17,3
R31603CNZ,2000,December,17,2
R31623CNZ,2000,December,17,6
R31635CNZ,2000,December,17,6
R31636CNZ,2000,December,17,1
R34143CNZ,2000,December,17,6
R34144CNZ,2000,December,17,2
R34203CNZ,2000,December,17,3
R34210CNZ,2000,December,17,3
R34212CNZ,2000,December,17,2
R34294CNZ,2000,December,17,4
R34303CNZ,2000,December,17,2
R34306CNZ,2000,December,17,3
R34312CNZ,2000,December,17,3
R34319CNZ,2000,December,17,4
R34390CNZ,2000,December,17,3
R34403CNZ,2000,December,17,5
R34470CNZ,2000,December,17,6
R34499CNZ,2000,December,17,1
R53000CNZ,2000,December,17,2
R53005CNZ,2000,December,17,6
R53006CNZ,2000,December,17,4
R53050CNZ,2000,December,17,1
R53051CNZ,2000,December,17,4
R53061CNZ,2000,December,17,5
R53062CNZ,2000,December,17,2
R53068CNZ,2000,December,17,5
R53069CNZ,2000,December,17,4
R53071CNZ,2000,December,17,1
R54123CNZ,2000,December,17,1
R54155CNZ,2000,December,17,1
R54156CNZ,2000,December,17,2
R54166CNZ,2000,December,17,4
R54170CNZ,2000,December,17,5
R55093CNZ,2000,December,17,5
R55094CNZ,2000,December,17,5
R55097CNZ,2000,December,17,5
R55133CNZ,2000,December,17,2
R55161CNZ,2000,December,17,2
R55180CNZ,2000,December,17,2
R55185CNZ,2000,December,17,2
R581999CNZ,2000,December,17,2
R582000CNZ,2000,December,17,6
R582034CNZ,2000,December,17,3
R682151CNZ,2000,December,17,4
R781087CNZ,2000,December,17,6
R782040CNZ,2000,December,17,1
R980981CNZ,2000,December,17,1
R981086CNZ,2000,December,17,2
R981470CNZ,2000,December,17,4
R981775CNZ,2000,December,17,2
R981956CNZ,2000,December,17,1
R982062CNZ,2000,December,17,3
R982073CNZ,2000,December,17,5
R982264CNZ,2000,December,17,1
R982311CNZ,2000,December,17,4
R982543CNZ,2000,December,17,4
R982570CNZ,2000,December,17,1
R982581CNZ,2000,December,17,1
R982591CNZ,2000,December,17,5
R31247CNZ,2000,December,16,5
R31275CNZ,2000,December,16,2
R31311CNZ,2000,December,16,5
R31312CNZ,2000,December,16,6
R31314CNZ,2000,December,16,6
R31323CNZ,2000,December,16,1
R31325CNZ,2000,December,16,5
R31348CNZ,2000,December,16,6
R31349CNZ,2000,December,16,3
R31357CNZ,2000,December,16,5
R31375CNZ,2000,December,16,5
R31420CNZ,2000,December,16,1
R31440CNZ,2000,December,16,5
R31441CNZ,2000,December,16,6
R31443CNZ,2000,December,16,2
R31464CNZ,2000,December,16,6
R31469CNZ,2000,December,16,6
R31479CNZ,2000,December,16,4
R31489CNZ,2000,December,16,1
R31505CNZ,2000,December,16,2
R31509CNZ,2000,December,16,2
R31512CNZ,2000,December,16,5
R31520CNZ,2000,December,16,2
R31533CNZ,2000,December,16,1
R31544CNZ,2000,December,16,2
R31584CNZ,2000,December,16,5
R31601CNZ,2000,December,16,3
R31603CNZ,2000,December,16,3
R31605CNZ,2000,December,16,3
R31610CNZ,2000,December,16,3
R31612CNZ,2000,December,16,2
R31623CNZ,2000,December,16,4
R31626CNZ,2000,December,16,5
R34143CNZ,2000,December,16,5
R34144CNZ,2000,December,16,1
R34203CNZ,2000,December,16,6
R34279CNZ,2000,December,16,2
R34306CNZ,2000,December,16,1
R34312CNZ,2000,December,16,5
R34319CNZ,2000,December,16,1
R34470CNZ,2000,December,16,2
R53005CNZ,2000,December,16,4
R53006CNZ,2000,December,16,6
R53038CNZ,2000,December,16,2
R53040CNZ,2000,December,16,6
R53041CNZ,2000,December,16,6
R53061CNZ,2000,December,16,4
R53062CNZ,2000,December,16,2
R53068CNZ,2000,December,16,4
R53069CNZ,2000,December,16,3
R54011CNZ,2000,December,16,4
R54017CNZ,2000,December,16,5
R54125CNZ,2000,December,16,1
R54142CNZ,2000,December,16,2
R54153CNZ,2000,December,16,6
R54154CNZ,2000,December,16,5
R54181CNZ,2000,December,16,1
R54186CNZ,2000,December,16,5
R55036CNZ,2000,December,16,5
R55039CNZ,2000,December,16,5
R55097CNZ,2000,December,16,4
R55159CNZ,2000,December,16,3
R55185CNZ,2000,December,16,4
R55199CNZ,2000,December,16,3
R55202CNZ,2000,December,16,4
R581999CNZ,2000,December,16,1
R582000CNZ,2000,December,16,1
R582033CNZ,2000,December,16,5
R682151CNZ,2000,December,16,1
R682263CNZ,2000,December,16,3
R982062CNZ,2000,December,16,5
R982104CNZ,2000,December,16,4
R982264CNZ,2000,December,16,4
R982566CNZ,2000,December,16,2
R982567CNZ,2000,December,16,5
R31257CNZ,2000,December,15,5
R31311CNZ,2000,December,15,3
R31325CNZ,2000,December,15,3
R31348CNZ,2000,December,15,5
R31349CNZ,2000,December,15,2
R31363CNZ,2000,December,15,6
R31365CNZ,2000,December,15,2
R31366CNZ,2000,December,15,3
R31373CNZ,2000,December,15,4
R31375CNZ,2000,December,15,6
R31420CNZ,2000,December,15,5
R31440CNZ,2000,December,15,3
R31449CNZ,2000,December,15,2
R31450CNZ,2000,December,15,3
R31505CNZ,2000,December,15,1
R31512CNZ,2000,December,15,4
R31532CNZ,2000,December,15,1
R31584CNZ,2000,December,15,6
R31603CNZ,2000,December,15,3
R31605CNZ,2000,December,15,3
R31610CNZ,2000,December,15,6
R31612CNZ,2000,December,15,6
R34101CNZ,2000,December,15,4
R34111CNZ,2000,December,15,3
R34173CNZ,2000,December,15,6
R34203CNZ,2000,December,15,5
R34279CNZ,2000,December,15,3
R34303CNZ,2000,December,15,4
R34349CNZ,2000,December,15,5
R34361CNZ,2000,December,15,4
R34390CNZ,2000,December,15,1
R34398CNZ,2000,December,15,5
R34401CNZ,2000,December,15,6
R34403CNZ,2000,December,15,1
R34426CNZ,2000,December,15,4
R34431CNZ,2000,December,15,4
R34499CNZ,2000,December,15,1
R53005CNZ,2000,December,15,1
R53006CNZ,2000,December,15,6
R53026CNZ,2000,December,15,3
R53038CNZ,2000,December,15,5
R53050CNZ,2000,December,15,5
R53051CNZ,2000,December,15,3
R53068CNZ,2000,December,15,2
R53069CNZ,2000,December,15,2
R53071CNZ,2000,December,15,4
R5356CNZ,2000,December,15,1
R5372CNZ,2000,December,15,5
R54131CNZ,2000,December,15,6
R54142CNZ,2000,December,15,4
R54153CNZ,2000,December,15,1
R54155CNZ,2000,December,15,4
R54156CNZ,2000,December,15,5
R54175CNZ,2000,December,15,3
R54186CNZ,2000,December,15,3
R54193CNZ,2000,December,15,1
R55080CNZ,2000,December,15,2
R55093CNZ,2000,December,15,5
R55094CNZ,2000,December,15,6
R55097CNZ,2000,December,15,4
R55133CNZ,2000,December,15,5
R55145CNZ,2000,December,15,4
R55174CNZ,2000,December,15,5
R55178CNZ,2000,December,15,3
R55185CNZ,2000,December,15,4
R582000CNZ,2000,December,15,5
R582034CNZ,2000,December,15,4
R682072CNZ,2000,December,15,4
R682151CNZ,2000,December,15,3
R682263CNZ,2000,December,15,3
R781099CNZ,2000,December,15,3
R781767CNZ,2000,December,15,1
R781768CNZ,2000,December,15,3
R782040CNZ,2000,December,15,3
R782320CNZ,2000,December,15,6
R980984CNZ,2000,December,15,4
R981823CNZ,2000,December,15,6
R981835CNZ,2000,December,15,4
R981943CNZ,2000,December,15,6
R981958CNZ,2000,December,15,3
R982048CNZ,2000,December,15,1
R982062CNZ,2000,December,15,3
R982073CNZ,2000,December,15,4
R982104CNZ,2000,December,15,1
R982264CNZ,2000,December,15,1
R982362CNZ,2000,December,15,2
R31015CNZ,2000,December,14,4
R31159CNZ,2000,December,14,1
R31242CNZ,2000,December,14,2
R31257CNZ,2000,December,14,1
R31263CNZ,2000,December,14,1
R31275CNZ,2000,December,14,2
R31312CNZ,2000,December,14,3
R31314CNZ,2000,December,14,3
R31325CNZ,2000,December,14,1
R31348CNZ,2000,December,14,5
R31349CNZ,2000,December,14,3
R31357CNZ,2000,December,14,5
R31372CNZ,2000,December,14,1
R31375CNZ,2000,December,14,1
R31414CNZ,2000,December,14,4
R31454CNZ,2000,December,14,4
R31455CNZ,2000,December,14,5
R31468CNZ,2000,December,14,6
R31469CNZ,2000,December,14,2
R31479CNZ,2000,December,14,3
R31509CNZ,2000,December,14,2
R31512CNZ,2000,December,14,5
R31540CNZ,2000,December,14,1
R31569CNZ,2000,December,14,2
R31584CNZ,2000,December,14,3
R31590CNZ,2000,December,14,2
R31603CNZ,2000,December,14,1
R31605CNZ,2000,December,14,6
R31624CNZ,2000,December,14,1
R31626CNZ,2000,December,14,2
R31636CNZ,2000,December,14,5
R34193CNZ,2000,December,14,3
R34203CNZ,2000,December,14,1
R34222CNZ,2000,December,14,4
R34247CNZ,2000,December,14,4
R34279CNZ,2000,December,14,5
R34303CNZ,2000,December,14,3
R34359CNZ,2000,December,14,3
R34413CNZ,2000,December,14,1
R34428CNZ,2000,December,14,5
R34431CNZ,2000,December,14,4
R34470CNZ,2000,December,14,3
R53005CNZ,2000,December,14,1
R53006CNZ,2000,December,14,4
R53023CNZ,2000,December,14,3
R53038CNZ,2000,December,14,4
R53050CNZ,2000,December,14,6
R53051CNZ,2000,December,14,5
R54125CNZ,2000,December,14,3
R54142CNZ,2000,December,14,4
