Part,Year,Month,Day,TotalQty
R55080ONZ,2022,April,17,2
R55085ONZ,2022,April,17,2
R55093ONZ,2022,April,17,2
R55094ONZ,2022,April,17,2
R55098ONZ,2022,April,17,2
R55126ONZ,2022,April,17,2
R55133ONZ,2022,April,17,2
R55150ONZ,2022,April,17,4
R55151ONZ,2022,April,17,4
R55159ONZ,2022,April,17,4
R55174ONZ,2022,April,17,8
R55176ONZ,2022,April,17,4
R55177ONZ,2022,April,17,2
R55185ONZ,2022,April,17,8
R55199ONZ,2022,April,17,2
R55202ONZ,2022,April,17,2
R582034ONZ,2022,April,17,4
R781767ONZ,2022,April,17,2
R781768ONZ,2022,April,17,2
R782430ONZ,2022,April,17,2
R782497ONZ,2022,April,17,2
R980981ONZ,2022,April,17,2
R981199ONZ,2022,April,17,2
R981421ONZ,2022,April,17,4
R981500ONZ,2022,April,17,6
R981503ONZ,2022,April,17,6
R981958ONZ,2022,April,17,6
R982091ONZ,2022,April,17,2
R982104ONZ,2022,April,17,4
R982123ONZ,2022,April,17,2
R982143ONZ,2022,April,17,2
R982153ONZ,2022,April,17,2
R982264ONZ,2022,April,17,2
R31152ONZ,2022,April,16,2
R31247ONZ,2022,April,16,4
R31257ONZ,2022,April,16,6
R31266ONZ,2022,April,16,2
R31270ONZ,2022,April,16,10
R31275ONZ,2022,April,16,2
R31285ONZ,2022,April,16,2
R31311ONZ,2022,April,16,6
R31312ONZ,2022,April,16,6
R31315ONZ,2022,April,16,2
R31318ONZ,2022,April,16,2
R31348ONZ,2022,April,16,2
R31349ONZ,2022,April,16,10
R31363ONZ,2022,April,16,4
R31365ONZ,2022,April,16,2
R31366ONZ,2022,April,16,2
R31372ONZ,2022,April,16,4
R31373ONZ,2022,April,16,2
R31375ONZ,2022,April,16,4
R31414ONZ,2022,April,16,2
R31416ONZ,2022,April,16,2
R31417ONZ,2022,April,16,2
R31420ONZ,2022,April,16,16
R31424ONZ,2022,April,16,8
R31427ONZ,2022,April,16,8
R31430ONZ,2022,April,16,2
R31431ONZ,2022,April,16,2
R31432ONZ,2022,April,16,6
R31433ONZ,2022,April,16,4
R31434ONZ,2022,April,16,8
R31435ONZ,2022,April,16,4
R31439ONZ,2022,April,16,2
R31440ONZ,2022,April,16,2
R31443ONZ,2022,April,16,4
R31455ONZ,2022,April,16,2
R31464ONZ,2022,April,16,2
R31479ONZ,2022,April,16,2
R31491ONZ,2022,April,16,2
R31499ONZ,2022,April,16,2
R31505ONZ,2022,April,16,8
R31508ONZ,2022,April,16,2
R31510ONZ,2022,April,16,2
R31512ONZ,2022,April,16,8
R31541ONZ,2022,April,16,2
R31542ONZ,2022,April,16,8
R31543ONZ,2022,April,16,4
R31552ONZ,2022,April,16,4
R31553ONZ,2022,April,16,18
R31584ONZ,2022,April,16,12
R31603ONZ,2022,April,16,12
R31605ONZ,2022,April,16,6
R31608ONZ,2022,April,16,4
R31610ONZ,2022,April,16,12
R31612ONZ,2022,April,16,14
R31624ONZ,2022,April,16,4
R31625ONZ,2022,April,16,16
R31636ONZ,2022,April,16,2
R31648ONZ,2022,April,16,2
R3296ONZ,2022,April,16,4
R34023ONZ,2022,April,16,2
R34143ONZ,2022,April,16,4
R34144ONZ,2022,April,16,4
R34203ONZ,2022,April,16,6
R34256ONZ,2022,April,16,2
R34279ONZ,2022,April,16,2
R34294ONZ,2022,April,16,2
R34298ONZ,2022,April,16,2
R34299ONZ,2022,April,16,2
R34303ONZ,2022,April,16,4
R34317ONZ,2022,April,16,2
R34349ONZ,2022,April,16,6
R34426ONZ,2022,April,16,2
R34470ONZ,2022,April,16,6
R53000ONZ,2022,April,16,2
R53004ONZ,2022,April,16,4
R53005ONZ,2022,April,16,4
R53006ONZ,2022,April,16,4
R53026ONZ,2022,April,16,4
R53027ONZ,2022,April,16,4
R53036ONZ,2022,April,16,2
R53040ONZ,2022,April,16,4
R53041ONZ,2022,April,16,4
R53050ONZ,2022,April,16,8
R53051ONZ,2022,April,16,8
R53061ONZ,2022,April,16,2
R53068ONZ,2022,April,16,6
R53069ONZ,2022,April,16,2
R53071ONZ,2022,April,16,6
R5383ONZ,2022,April,16,4
R54030ONZ,2022,April,16,2
R54048ONZ,2022,April,16,2
R54123ONZ,2022,April,16,8
R54153ONZ,2022,April,16,4
R54166ONZ,2022,April,16,2
R54176ONZ,2022,April,16,4
R54181ONZ,2022,April,16,2
R54182ONZ,2022,April,16,2
R54186ONZ,2022,April,16,4
R54193ONZ,2022,April,16,2
R54198ONZ,2022,April,16,2
R54199ONZ,2022,April,16,2
R55034ONZ,2022,April,16,2
R55039ONZ,2022,April,16,2
R55073ONZ,2022,April,16,2
R55083ONZ,2022,April,16,2
R55085ONZ,2022,April,16,4
R55094ONZ,2022,April,16,4
R55097ONZ,2022,April,16,2
R55133ONZ,2022,April,16,4
R55147ONZ,2022,April,16,4
R55148ONZ,2022,April,16,2
R55150ONZ,2022,April,16,6
R55151ONZ,2022,April,16,4
R55159ONZ,2022,April,16,14
R55174ONZ,2022,April,16,2
R55178ONZ,2022,April,16,2
R55185ONZ,2022,April,16,4
R55199ONZ,2022,April,16,4
R55202ONZ,2022,April,16,2
R581999ONZ,2022,April,16,4
R582000ONZ,2022,April,16,4
R582034ONZ,2022,April,16,2
R682151ONZ,2022,April,16,4
R781766ONZ,2022,April,16,2
R980981ONZ,2022,April,16,2
R981053ONZ,2022,April,16,4
R981421ONZ,2022,April,16,2
R981500ONZ,2022,April,16,6
R981503ONZ,2022,April,16,2
R981835ONZ,2022,April,16,4
R981958ONZ,2022,April,16,8
R982091ONZ,2022,April,16,2
R982104ONZ,2022,April,16,2
R982292ONZ,2022,April,16,2
R982513ONZ,2022,April,16,4
R31243ONZ,2022,April,15,2
R31257ONZ,2022,April,15,8
R31267ONZ,2022,April,15,2
R31269ONZ,2022,April,15,2
R31270ONZ,2022,April,15,2
R31275ONZ,2022,April,15,4
R31294ONZ,2022,April,15,2
R31295ONZ,2022,April,15,2
R31299ONZ,2022,April,15,6
R31306ONZ,2022,April,15,4
R31311ONZ,2022,April,15,4
R31312ONZ,2022,April,15,10
R31316ONZ,2022,April,15,2
R31317ONZ,2022,April,15,2
R31318ONZ,2022,April,15,2
R31322ONZ,2022,April,15,2
R31325ONZ,2022,April,15,2
R31337ONZ,2022,April,15,4
R31347ONZ,2022,April,15,2
R31348ONZ,2022,April,15,8
R31349ONZ,2022,April,15,8
R31363ONZ,2022,April,15,4
R31365ONZ,2022,April,15,6
R31366ONZ,2022,April,15,2
R31368ONZ,2022,April,15,8
R31369ONZ,2022,April,15,8
R31372ONZ,2022,April,15,12
R31373ONZ,2022,April,15,2
R31375ONZ,2022,April,15,6
R31389ONZ,2022,April,15,2
R31398ONZ,2022,April,15,2
R31402ONZ,2022,April,15,4
R31416ONZ,2022,April,15,2
R31417ONZ,2022,April,15,2
R31420ONZ,2022,April,15,6
R31422ONZ,2022,April,15,2
R31424ONZ,2022,April,15,6
R31432ONZ,2022,April,15,6
R31434ONZ,2022,April,15,8
R31435ONZ,2022,April,15,4
R31439ONZ,2022,April,15,6
R31440ONZ,2022,April,15,4
R31443ONZ,2022,April,15,10
R31444ONZ,2022,April,15,1
R31445ONZ,2022,April,15,1
R31447ONZ,2022,April,15,2
R31453ONZ,2022,April,15,2
R31455ONZ,2022,April,15,8
R31464ONZ,2022,April,15,2
R31479ONZ,2022,April,15,2
R31482ONZ,2022,April,15,2
R31488ONZ,2022,April,15,2
R31493ONZ,2022,April,15,4
R31494ONZ,2022,April,15,2
R31495ONZ,2022,April,15,2
R31498ONZ,2022,April,15,2
R31499ONZ,2022,April,15,2
R31505ONZ,2022,April,15,6
R31509ONZ,2022,April,15,4
R31512ONZ,2022,April,15,6
R31542ONZ,2022,April,15,2
R31543ONZ,2022,April,15,2
R31552ONZ,2022,April,15,4
R31553ONZ,2022,April,15,14
R31583ONZ,2022,April,15,2
R31584ONZ,2022,April,15,22
R31598ONZ,2022,April,15,2
R31601ONZ,2022,April,15,2
R31603ONZ,2022,April,15,22
R31605ONZ,2022,April,15,4
R31608ONZ,2022,April,15,6
R31610ONZ,2022,April,15,4
R31612ONZ,2022,April,15,8
R31623ONZ,2022,April,15,2
R31625ONZ,2022,April,15,12
R31626ONZ,2022,April,15,4
R31636ONZ,2022,April,15,4
R3295ONZ,2022,April,15,2
R34143ONZ,2022,April,15,4
R34144ONZ,2022,April,15,6
R34180ONZ,2022,April,15,2
R34184ONZ,2022,April,15,2
R34203ONZ,2022,April,15,8
R34206ONZ,2022,April,15,2
R34207ONZ,2022,April,15,2
R34284ONZ,2022,April,15,2
R34286ONZ,2022,April,15,2
R34294ONZ,2022,April,15,2
R34303ONZ,2022,April,15,10
R34312ONZ,2022,April,15,4
R34317ONZ,2022,April,15,2
R34349ONZ,2022,April,15,2
R34369ONZ,2022,April,15,2
R34403ONZ,2022,April,15,2
R34413ONZ,2022,April,15,2
R34426ONZ,2022,April,15,2
R34470ONZ,2022,April,15,8
R34499ONZ,2022,April,15,2
R44888ONZ,2022,April,15,2
R44930ONZ,2022,April,15,2
R5115ONZ,2022,April,15,2
R53000ONZ,2022,April,15,2
R53001ONZ,2022,April,15,2
R53004ONZ,2022,April,15,2
R53005ONZ,2022,April,15,10
R53006ONZ,2022,April,15,8
R53010ONZ,2022,April,15,4
R53027ONZ,2022,April,15,2
R53036ONZ,2022,April,15,2
R53038ONZ,2022,April,15,4
R53040ONZ,2022,April,15,2
R53041ONZ,2022,April,15,2
R53043ONZ,2022,April,15,2
R53050ONZ,2022,April,15,10
R53051ONZ,2022,April,15,12
R53061ONZ,2022,April,15,2
R53068ONZ,2022,April,15,4
R53069ONZ,2022,April,15,2
R5360ONZ,2022,April,15,2
R5383ONZ,2022,April,15,2
R5399ONZ,2022,April,15,4
R54042ONZ,2022,April,15,2
R54070ONZ,2022,April,15,2
R54095ONZ,2022,April,15,2
R54097ONZ,2022,April,15,2
R54098ONZ,2022,April,15,2
R54125ONZ,2022,April,15,2
R54142ONZ,2022,April,15,2
R54153ONZ,2022,April,15,6
R54154ONZ,2022,April,15,2
R54161ONZ,2022,April,15,2
R54166ONZ,2022,April,15,2
R54176ONZ,2022,April,15,8
R54181ONZ,2022,April,15,6
R54182ONZ,2022,April,15,2
R54186ONZ,2022,April,15,6
R54188ONZ,2022,April,15,2
R54189ONZ,2022,April,15,2
R54193ONZ,2022,April,15,2
R55085ONZ,2022,April,15,2
R55087ONZ,2022,April,15,2
R55093ONZ,2022,April,15,4
R55094ONZ,2022,April,15,2
R55097ONZ,2022,April,15,2
R55118ONZ,2022,April,15,4
R55119ONZ,2022,April,15,2
R55126ONZ,2022,April,15,2
R55133ONZ,2022,April,15,2
R55150ONZ,2022,April,15,6
R55151ONZ,2022,April,15,6
R55159ONZ,2022,April,15,2
R55162ONZ,2022,April,15,2
R55174ONZ,2022,April,15,4
R55178ONZ,2022,April,15,4
R55185ONZ,2022,April,15,12
R55196ONZ,2022,April,15,2
R55199ONZ,2022,April,15,2
R581999ONZ,2022,April,15,4
R582000ONZ,2022,April,15,4
R582034ONZ,2022,April,15,6
R582038ONZ,2022,April,15,2
R582039ONZ,2022,April,15,2
R781767ONZ,2022,April,15,2
R981023ONZ,2022,April,15,2
R981500ONZ,2022,April,15,2
R981503ONZ,2022,April,15,2
R981835ONZ,2022,April,15,2
R981958ONZ,2022,April,15,8
R982062ONZ,2022,April,15,2
R982073ONZ,2022,April,15,2
R982091ONZ,2022,April,15,2
R982097ONZ,2022,April,15,2
R982407ONZ,2022,April,15,4
R982566ONZ,2022,April,15,4
R31050ONZ,2022,April,14,2
R31052ONZ,2022,April,14,2
R31056ONZ,2022,April,14,2
R31257ONZ,2022,April,14,4
R31263ONZ,2022,April,14,2
R31266ONZ,2022,April,14,2
R31269ONZ,2022,April,14,2
R31270ONZ,2022,April,14,2
R31275ONZ,2022,April,14,6
R31311ONZ,2022,April,14,12
R31312ONZ,2022,April,14,6
R31314ONZ,2022,April,14,2
R31315ONZ,2022,April,14,4
R31318ONZ,2022,April,14,4
R31322ONZ,2022,April,14,2
R31337ONZ,2022,April,14,2
R31347ONZ,2022,April,14,2
R31348ONZ,2022,April,14,8
R31349ONZ,2022,April,14,10
R31357ONZ,2022,April,14,2
R31365ONZ,2022,April,14,2
R31366ONZ,2022,April,14,2
R31372ONZ,2022,April,14,6
R31375ONZ,2022,April,14,8
R31396ONZ,2022,April,14,2
R31403ONZ,2022,April,14,2
R31414ONZ,2022,April,14,2
R31415ONZ,2022,April,14,2
R31420ONZ,2022,April,14,14
R31424ONZ,2022,April,14,4
R31427ONZ,2022,April,14,2
R31431ONZ,2022,April,14,2
R31432ONZ,2022,April,14,4
R31433ONZ,2022,April,14,4
R31434ONZ,2022,April,14,14
R31439ONZ,2022,April,14,2
R31440ONZ,2022,April,14,4
R31443ONZ,2022,April,14,10
R31447ONZ,2022,April,14,4
R31453ONZ,2022,April,14,4
R31455ONZ,2022,April,14,4
R31464ONZ,2022,April,14,2
R31468ONZ,2022,April,14,2
R31469ONZ,2022,April,14,4
R31477ONZ,2022,April,14,2
R31482ONZ,2022,April,14,2
R31483ONZ,2022,April,14,2
R31488ONZ,2022,April,14,4
R31491ONZ,2022,April,14,2
R31494ONZ,2022,April,14,2
R31495ONZ,2022,April,14,2
R31496ONZ,2022,April,14,2
R31498ONZ,2022,April,14,2
R31499ONZ,2022,April,14,2
R31505ONZ,2022,April,14,6
R31509ONZ,2022,April,14,4
R31512ONZ,2022,April,14,10
R31538ONZ,2022,April,14,2
R31541ONZ,2022,April,14,2
R31542ONZ,2022,April,14,4
R31543ONZ,2022,April,14,4
R31550ONZ,2022,April,14,2
R31552ONZ,2022,April,14,2
R31553ONZ,2022,April,14,18
R31554ONZ,2022,April,14,2
R31583ONZ,2022,April,14,4
R31584ONZ,2022,April,14,24
R31601ONZ,2022,April,14,2
R31603ONZ,2022,April,14,28
R31605ONZ,2022,April,14,4
R31610ONZ,2022,April,14,6
R31612ONZ,2022,April,14,6
R31623ONZ,2022,April,14,10
R31624ONZ,2022,April,14,2
R31625ONZ,2022,April,14,20
R31626ONZ,2022,April,14,4
R31635ONZ,2022,April,14,2
R3264ONZ,2022,April,14,2
R3295ONZ,2022,April,14,2
R3296ONZ,2022,April,14,2
R34143ONZ,2022,April,14,2
R34144ONZ,2022,April,14,4
R34203ONZ,2022,April,14,18
R34279ONZ,2022,April,14,2
R34294ONZ,2022,April,14,2
R34303ONZ,2022,April,14,8
R34349ONZ,2022,April,14,4
R34359ONZ,2022,April,14,2
R34396ONZ,2022,April,14,2
R34397ONZ,2022,April,14,2
R34426ONZ,2022,April,14,2
R34431ONZ,2022,April,14,4
R34470ONZ,2022,April,14,4
R53004ONZ,2022,April,14,2
R53005ONZ,2022,April,14,4
R53006ONZ,2022,April,14,2
R53013ONZ,2022,April,14,2
R53014ONZ,2022,April,14,2
R53026ONZ,2022,April,14,2
R53027ONZ,2022,April,14,2
R53036ONZ,2022,April,14,2
R53038ONZ,2022,April,14,6
R53050ONZ,2022,April,14,2
R53051ONZ,2022,April,14,2
R53061ONZ,2022,April,14,2
R53062ONZ,2022,April,14,4
R53068ONZ,2022,April,14,16
R53069ONZ,2022,April,14,8
R53071ONZ,2022,April,14,2
R5383ONZ,2022,April,14,2
R54006ONZ,2022,April,14,2
R54011ONZ,2022,April,14,2
R54025ONZ,2022,April,14,2
R54027ONZ,2022,April,14,2
R54030ONZ,2022,April,14,2
R54060ONZ,2022,April,14,2
R54093ONZ,2022,April,14,2
R54097ONZ,2022,April,14,2
R54098ONZ,2022,April,14,2
R54109ONZ,2022,April,14,2
R54125ONZ,2022,April,14,4
R54126ONZ,2022,April,14,2
R54153ONZ,2022,April,14,2
R54154ONZ,2022,April,14,4
R54155ONZ,2022,April,14,2
R54156ONZ,2022,April,14,2
R54161ONZ,2022,April,14,2
R54166ONZ,2022,April,14,4
R54176ONZ,2022,April,14,4
R54182ONZ,2022,April,14,2
R54188ONZ,2022,April,14,4
R54189ONZ,2022,April,14,4
R54193ONZ,2022,April,14,4
R55034ONZ,2022,April,14,2
R55054ONZ,2022,April,14,2
R55072ONZ,2022,April,14,2
R55083ONZ,2022,April,14,2
R55085ONZ,2022,April,14,2
R55090ONZ,2022,April,14,2
R55093ONZ,2022,April,14,2
R55094ONZ,2022,April,14,2
R55097ONZ,2022,April,14,2
R55118ONZ,2022,April,14,2
R55119ONZ,2022,April,14,2
R55120ONZ,2022,April,14,2
R55125ONZ,2022,April,14,2
R55126ONZ,2022,April,14,2
R55133ONZ,2022,April,14,2
R55159ONZ,2022,April,14,10
R55174ONZ,2022,April,14,4
R55178ONZ,2022,April,14,2
R55179ONZ,2022,April,14,2
R55185ONZ,2022,April,14,6
R55199ONZ,2022,April,14,2
R581999ONZ,2022,April,14,2
R582000ONZ,2022,April,14,4
R582034ONZ,2022,April,14,6
R681995ONZ,2022,April,14,2
R682151ONZ,2022,April,14,4
R682573ONZ,2022,April,14,2
R682574ONZ,2022,April,14,2
R781087ONZ,2022,April,14,2
R781767ONZ,2022,April,14,2
R781768ONZ,2022,April,14,2
R981023ONZ,2022,April,14,2
R981053ONZ,2022,April,14,2
R981421ONZ,2022,April,14,2
R981470ONZ,2022,April,14,2
R981500ONZ,2022,April,14,6
R981503ONZ,2022,April,14,2
R981835ONZ,2022,April,14,2
R981958ONZ,2022,April,14,8
R982104ONZ,2022,April,14,2
R982123ONZ,2022,April,14,2
R982264ONZ,2022,April,14,6
R982292ONZ,2022,April,14,2
R31043ONZ,2022,April,13,4
R31204ONZ,2022,April,13,2
R31257ONZ,2022,April,13,12
R31270ONZ,2022,April,13,2
R31275ONZ,2022,April,13,2
R31299ONZ,2022,April,13,2
R31304ONZ,2022,April,13,2
R31306ONZ,2022,April,13,8
R31311ONZ,2022,April,13,8
R31312ONZ,2022,April,13,10
R31318ONZ,2022,April,13,2
R31322ONZ,2022,April,13,2
R31325ONZ,2022,April,13,8
R31336ONZ,2022,April,13,2
R31347ONZ,2022,April,13,4
R31348ONZ,2022,April,13,4
R31349ONZ,2022,April,13,14
R31365ONZ,2022,April,13,16
R31368ONZ,2022,April,13,2
R31369ONZ,2022,April,13,4
R31372ONZ,2022,April,13,2
R31373ONZ,2022,April,13,8
R31375ONZ,2022,April,13,4
R31398ONZ,2022,April,13,2
R31420ONZ,2022,April,13,16
R31424ONZ,2022,April,13,8
R31427ONZ,2022,April,13,4
R31432ONZ,2022,April,13,2
R31433ONZ,2022,April,13,4
R31434ONZ,2022,April,13,16
R31439ONZ,2022,April,13,4
R31440ONZ,2022,April,13,8
R31443ONZ,2022,April,13,14
R31447ONZ,2022,April,13,2
R31453ONZ,2022,April,13,2
R31455ONZ,2022,April,13,2
R31463ONZ,2022,April,13,4
R31464ONZ,2022,April,13,2
R31488ONZ,2022,April,13,4
R31493ONZ,2022,April,13,2
R31505ONZ,2022,April,13,10
R31507ONZ,2022,April,13,2
R31508ONZ,2022,April,13,2
R31509ONZ,2022,April,13,2
R31512ONZ,2022,April,13,12
R31520ONZ,2022,April,13,2
R31539ONZ,2022,April,13,2
R31541ONZ,2022,April,13,2
R31542ONZ,2022,April,13,4
R31543ONZ,2022,April,13,2
R31550ONZ,2022,April,13,2
R31552ONZ,2022,April,13,4
R31553ONZ,2022,April,13,22
R31554ONZ,2022,April,13,2
R31584ONZ,2022,April,13,20
R31598ONZ,2022,April,13,2
R31599ONZ,2022,April,13,2
R31601ONZ,2022,April,13,4
R31603ONZ,2022,April,13,20
R31605ONZ,2022,April,13,4
R31608ONZ,2022,April,13,2
R31610ONZ,2022,April,13,2
R31612ONZ,2022,April,13,6
R31623ONZ,2022,April,13,2
R31624ONZ,2022,April,13,2
R31625ONZ,2022,April,13,20
R31626ONZ,2022,April,13,10
R31636ONZ,2022,April,13,2
R31661ONZ,2022,April,13,4
R34143ONZ,2022,April,13,6
R34144ONZ,2022,April,13,8
R34168ONZ,2022,April,13,2
R34203ONZ,2022,April,13,12
R34231ONZ,2022,April,13,2
R34247ONZ,2022,April,13,2
R34306ONZ,2022,April,13,2
R34319ONZ,2022,April,13,2
R34342ONZ,2022,April,13,2
R34349ONZ,2022,April,13,2
R34390ONZ,2022,April,13,2
R34414ONZ,2022,April,13,2
R34424ONZ,2022,April,13,2
R34475ONZ,2022,April,13,4
R34499ONZ,2022,April,13,2
R44888ONZ,2022,April,13,2
R5115ONZ,2022,April,13,2
R53006ONZ,2022,April,13,2
R53021ONZ,2022,April,13,2
R53022ONZ,2022,April,13,2
R53026ONZ,2022,April,13,2
R53027ONZ,2022,April,13,2
R53036ONZ,2022,April,13,6
R53038ONZ,2022,April,13,8
R53040ONZ,2022,April,13,4
R53041ONZ,2022,April,13,2
R53050ONZ,2022,April,13,10
R53051ONZ,2022,April,13,14
R53061ONZ,2022,April,13,2
R53068ONZ,2022,April,13,4
R53069ONZ,2022,April,13,4
R53071ONZ,2022,April,13,2
R5360ONZ,2022,April,13,2
R5399ONZ,2022,April,13,4
R54030ONZ,2022,April,13,2
R54095ONZ,2022,April,13,2
R54097ONZ,2022,April,13,2
R54123ONZ,2022,April,13,2
R54132ONZ,2022,April,13,2
R54142ONZ,2022,April,13,8
R54153ONZ,2022,April,13,10
R54154ONZ,2022,April,13,2
R54156ONZ,2022,April,13,2
R54161ONZ,2022,April,13,2
R54176ONZ,2022,April,13,2
R54182ONZ,2022,April,13,2
R54186ONZ,2022,April,13,4
R54193ONZ,2022,April,13,4
R54194ONZ,2022,April,13,2
R54196ONZ,2022,April,13,2
R55039ONZ,2022,April,13,2
R55093ONZ,2022,April,13,2
R55094ONZ,2022,April,13,4
R55097ONZ,2022,April,13,4
R55118ONZ,2022,April,13,2
R55133ONZ,2022,April,13,4
R55159ONZ,2022,April,13,14
R55174ONZ,2022,April,13,4
R55178ONZ,2022,April,13,6
R55185ONZ,2022,April,13,6
R55196ONZ,2022,April,13,2
R55199ONZ,2022,April,13,2
R55202ONZ,2022,April,13,6
R581999ONZ,2022,April,13,4
R582000ONZ,2022,April,13,6
R582034ONZ,2022,April,13,4
R582038ONZ,2022,April,13,2
R582039ONZ,2022,April,13,2
R582152ONZ,2022,April,13,2
R682263ONZ,2022,April,13,4
R781087ONZ,2022,April,13,2
R781099ONZ,2022,April,13,4
R781767ONZ,2022,April,13,2
R781768ONZ,2022,April,13,6
R980981ONZ,2022,April,13,4
R981053ONZ,2022,April,13,2
R981086ONZ,2022,April,13,2
R981199ONZ,2022,April,13,2
R981421ONZ,2022,April,13,2
R981500ONZ,2022,April,13,10
R981503ONZ,2022,April,13,2
R981776ONZ,2022,April,13,2
R981958ONZ,2022,April,13,6
R982062ONZ,2022,April,13,2
R982073ONZ,2022,April,13,4
R982091ONZ,2022,April,13,2
R982097ONZ,2022,April,13,4
R982115ONZ,2022,April,13,2
R982123ONZ,2022,April,13,4
R982153ONZ,2022,April,13,2
R982264ONZ,2022,April,13,4
R31050ONZ,2022,April,12,2
R31075ONZ,2022,April,12,2
R31134ONZ,2022,April,12,2
R31165ONZ,2022,April,12,2
R31257ONZ,2022,April,12,12
R31270ONZ,2022,April,12,8
R31275ONZ,2022,April,12,6
R31277ONZ,2022,April,12,2
R31289ONZ,2022,April,12,2
R31306ONZ,2022,April,12,2
R31311ONZ,2022,April,12,6
R31312ONZ,2022,April,12,12
R31314ONZ,2022,April,12,2
R31315ONZ,2022,April,12,6
R31316ONZ,2022,April,12,2
R31318ONZ,2022,April,12,2
R31321ONZ,2022,April,12,2
R31322ONZ,2022,April,12,2
R31325ONZ,2022,April,12,4
R31333ONZ,2022,April,12,2
R31336ONZ,2022,April,12,4
R31337ONZ,2022,April,12,4
R31348ONZ,2022,April,12,2
R31349ONZ,2022,April,12,4
R31361ONZ,2022,April,12,2
R31362ONZ,2022,April,12,2
R31363ONZ,2022,April,12,4
R31365ONZ,2022,April,12,10
R31366ONZ,2022,April,12,4
R31368ONZ,2022,April,12,6
R31369ONZ,2022,April,12,8
R31372ONZ,2022,April,12,12
R31373ONZ,2022,April,12,6
